15×8 DataFrame
 Row │ parameters  mean        std       naive_se    mcse        ess       rhat      ess_per_sec
     │ Symbol      Float64     Float64   Float64     Float64     Float64   Float64   Float64
─────┼───────────────────────────────────────────────────────────────────────────────────────────
   1 │ α           71.0626     7.83209   0.0875655   0.253157    1103.11   1.00238       5.89454
   2 │ σ            5.87618    0.265073  0.00296361  0.00346576  7032.87   1.00004      37.5806
   3 │ τₐ           6.70437    7.51895   0.0840645   0.22828     1372.05   1.0018        7.33162
   4 │ τᵦ[1]        6.36806    5.68283   0.063536    0.146376    1508.82   1.00161       8.06246
   5 │ τᵦ[2]        6.37695    5.73307   0.0640977   0.164723     963.377  1.00279       5.14787
   6 │ αⱼ[1]       -3.89769    5.94114   0.066424    0.226498     799.028  1.0036        4.26966
   7 │ αⱼ[2]        3.28275    5.92363   0.0662282   0.223736     811.2    1.00343       4.3347
   8 │ βⱼ[1,1]      0.246034   0.831311  0.00929434  0.0187178   2208.44   1.0013       11.801
   9 │ βⱼ[2,1]     -0.888226   1.05528   0.0117984   0.0216797   2157.27   1.00124      11.5275
  10 │ βⱼ[3,1]      0.556325   0.921074  0.0102979   0.0179329   2003.7    1.00009      10.7069
  11 │ βⱼ[4,1]      0.0953832  0.779033  0.00870985  0.0147703   3880.57   1.00038      20.7361
  12 │ βⱼ[1,2]      0.264749   0.806497  0.00901691  0.0130957   3961.52   1.00036      21.1687
  13 │ βⱼ[2,2]     -0.889554   1.0405    0.0116331   0.0222229   2363.47   1.00235      12.6293
  14 │ βⱼ[3,2]      0.550742   0.897587  0.0100353   0.0168475   2898.1    1.0006       15.4862
  15 │ βⱼ[4,2]      0.103328   0.791032  0.00884401  0.0119464   4253.39   0.999846     22.7283
